Column1	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	seqnames	start	end	width	strand	source	type	score	phase	gene_id	transcript_id	exon_number	exon_id
1	DDX11L1	5.710125469	0.99789304	0.983780962	1.014344736	0.310418284	0.541731561	chr1	11874	14409	2536	+	refGene	transcript	NA	NA	DDX11L1	NR_046018	NA	NA
2	WASH7P	1982.429541	-0.106155328	0.131246867	-0.808821804	0.418617652	0.645512172	chr1	14362	29370	15009	-	refGene	transcript	NA	NA	WASH7P	NR_024540	NA	NA
3	LOC729737	262.6888655	-0.386155649	0.333726848	-1.157100939	0.247231123	0.470533897	chr1	134773	140566	5794	-	refGene	transcript	NA	NA	LOC729737	NR_039983	NA	NA
4	LOC102725121	5.848517264	0.823616752	1.04846585	0.785544662	0.432134295	0.656926422	chr1	182388	184878	2491	+	refGene	transcript	NA	NA	LOC102725121	NR_148357	NA	NA
5	TGIF1	1817.92141	-1.096113976	0.172106033	-6.368829465	1.9E-10	4.89E-09	chr18	3449707	3459978	10272	+	refGene	transcript	NA	NA	TGIF1	NM_173208	NA	NA
6	PRDX6	6268.605437	0.181823054	0.167953876	1.082577308	0.278996084	0.506694628	chr1	173477335	173488815	11481	+	refGene	transcript	NA	NA	PRDX6	NM_004905	NA	NA
7	LOC101928626	3.491853112	0.331240303	1.011468203	0.327484643	0.743301356	0.877428128	chr1	627380	629009	1630	-	refGene	transcript	NA	NA	LOC101928626	NR_125957	NA	NA
8	CIC	1300.316782	0.177432533	0.257794774	0.688270479	0.491282468	0.704610906	chr19	42284665	42295796	11132	+	refGene	transcript	NA	NA	CIC	NM_015125	NA	NA
9	LOC100133331	230.6816312	-0.480934433	0.333997711	-1.439933321	0.149886265	0.341539705	chr1	725759	730351	4593	-	refGene	transcript	NA	NA	LOC100133331	NR_028327	NA	NA
10	LOC100288069	214.2899258	-0.261143131	0.299104324	-0.87308377	0.38261742	0.614756063	chr1	764865	778688	13824	-	refGene	transcript	NA	NA	LOC100288069	NR_033908	NA	NA
11	FAM87B	31.08168366	0.244579953	0.345713137	0.707465024	0.479277541	0.696164046	chr1	817371	819834	2464	+	refGene	transcript	NA	NA	FAM87B	NR_103536	NA	NA
12	LINC00115	71.87360402	-0.121891079	0.218680083	-0.557394514	0.577257913	0.768591505	chr1	826206	827522	1317	-	refGene	transcript	NA	NA	LINC00115	NR_024321	NA	NA
13	LINC01128	462.168862	0.200151138	0.175364496	1.141343555	0.253726984	0.478167625	chr1	827591	843604	16014	+	refGene	transcript	NA	NA	LINC01128	NR_047526	NA	NA
14	FAM41C	11.94842591	-0.983546265	0.644632641	-1.525746917	0.127072905	0.306690568	chr1	868071	876802	8732	-	refGene	transcript	NA	NA	FAM41C	NR_027055	NA	NA
15	LINC02593	89.3523736	0.629831569	0.315679117	1.995163871	0.04602501	0.14836868	chr1	916818	919692	2875	-	refGene	transcript	NA	NA	LINC02593	NR_026874	NA	NA
16	PLEC	8010.474935	-0.003680486	0.196804719	-0.018701209	0.985079464	0.995079659	chr8	143915153	143944770	29618	-	refGene	transcript	NA	NA	PLEC	NM_201381	NA	NA
17	PLEKHN1	267.8747809	-0.035171681	0.307149591	-0.114509941	0.908833567	0.958566685	chr1	966482	975865	9384	+	refGene	transcript	NA	NA	PLEKHN1	NM_001160184	NA	NA
18	MPP2	1569.747875	0.269963777	0.605711622	0.445696875	0.655816222	0.823396294	chr17	43875359	43907942	32584	-	refGene	transcript	NA	NA	MPP2	NM_001278381	NA	NA
19	RBM19	1114.968341	0.059745286	0.138762535	0.430557758	0.666789962	0.82962471	chr12	113816740	113966325	149586	-	refGene	transcript	NA	NA	RBM19	NM_001146699	NA	NA
20	CCDC120	133.7676725	0.364625187	0.251758594	1.448312775	0.147529596	0.338457483	chrX	49058966	49069858	10893	+	refGene	transcript	NA	NA	CCDC120	NM_033626	NA	NA
21	INO80D	1134.392756	-0.949091219	0.258749924	-3.667986463	0.000244468	0.002019062	chr2	205993721	206086174	92454	-	refGene	transcript	NA	NA	INO80D	NM_017759	NA	NA
22	CCDC34	482.5015385	0.352252518	0.181626141	1.939437333	0.052448108	0.163060014	chr11	27348872	27363248	14377	-	refGene	transcript	NA	NA	CCDC34	NM_080654	NA	NA
